sim_time_s,case_id,lat_deg,lon_deg,alt_m,tas_mps,ground_speed_mps,actual_hdg_deg,actual_track_deg,target_hdg_deg,target_track_deg,bank_default_deg,bank_turnphi_deg,bank_limit_deg,observed_heading_rate_deg_s,equivalent_kinematic_bank_deg,active_waypoint_index,active_waypoint_name,active_waypoint_lat_deg,active_waypoint_lon_deg,active_waypoint_distance_m,guidance_distance_before_motion_m,turn_initiation_distance_m,native_turn_radius_m,active_leg_direction_deg,flyby,flyturn,lnav,nominal_corner_distance_m,nominal_endpoint_distance_m,accepted_endpoint_distance_m,outside_corridor,capture_waypoint_name,capture_waypoint_active,accepted_action_index,target_speed_mps,nominal_speed_mps,target_alt_m,target_lane_m,altitude_active,lane_active,nominal_waypoint_index,actual_cross_track_m,lane_error_m,lane_track_error_deg,centerline_distance_m,capture_beyond_leg_end,final_nominal_active,lane_commands,lane_captures,route_rebuilds,on_parallel_segment,arm,aircraft_type,turn,decision_time_s,proposed_action,phase,trigger_has_occurred,active_wp_nominal_mapping,along_first_leg_m,instantaneous_bank_radius_m,active_wp_qdr_deg,swlastwp,native_idxreached,native_turnspd_mps
119.5,refresh-amzn-north-s0-l1,0.015992295166631327,0.041647392289152395,106.68,40.33249162022752,40.33249162022752,359.9803358109451,359.9803358109451,359.9803358109451,359.9803358109451,25.0,25.0,25.0,-3.433342499192804e-11,-1.4120546524864737e-10,1,F0P1,0.04163859035404016,0.04163859035404016,2851.7380800211495,2865.0271050802917,0.0,355.7270419516812,4.313513703383645,True,False,True,1778.2623572714567,2851.7380800208225,2851.7380800208225,False,null,False,7,40.33244444444445,80.6648888888889,106.68,0.0,False,False,2,0.9787305291347366,0.9787305291347366,-0.01966418905487899,0.9787304910099958,False,True,0,0,0,True,refresh,Amzn,north,115.0,7,after_native_first_leg_advance,True,2,4630.978730529461,355.7270419516812,359.9803358109364,True,False,-990.0
119.75,refresh-amzn-north-s0-l1,0.016082974864127283,0.04164736116743852,106.68,40.33249162022752,40.33249162022752,359.9803358109364,359.9803358109364,359.9803358109364,359.9803358109364,25.0,25.0,25.0,-3.4788172342814505e-11,-1.4307573631154337e-10,1,F0P1,0.04163859035404016,0.04163859035404016,2841.654957116092,2854.9326867361574,0.0,355.7270419516812,4.313513703383645,True,False,True,1788.3454761735027,2841.6549571157652,2841.6549571157652,False,null,False,7,40.33244444444445,80.6648888888889,106.68,0.0,False,False,2,0.975269952443341,0.975269952443341,-0.019664189063632875,0.975269914021629,False,True,0,0,0,True,refresh,Amzn,north,115.0,7,after_native_first_leg_advance,True,2,4630.97526995277,355.7270419516812,359.9803358109277,True,False,-990.0
120.0,refresh-amzn-north-s0-l1,0.01617365456162324,0.04164733004572462,106.68,40.33249162022752,40.33249162022752,359.9803358109277,359.9803358109277,359.9803358109277,359.9803358109277,25.0,25.0,25.0,-3.4788172342814505e-11,-1.4307573631154337e-10,1,F0P1,0.04163859035404016,0.04163859035404016,2831.571834211035,2844.838268392065,0.0,355.7270419516812,4.313513703383645,True,False,True,1798.4285951204347,2831.571834210708,2831.571834210708,False,null,False,7,40.33244444444445,80.6648888888889,106.68,0.0,False,False,2,0.971809375749217,0.971809375749217,-0.019664189072273075,0.9718093370308079,False,True,0,0,0,True,refresh,Amzn,north,115.0,7,after_native_first_leg_advance,True,2,4630.971809376076,355.7270419516812,359.980335810919,True,False,-990.0
120.25,refresh-amzn-north-s0-l1,0.016264334259119197,0.041647298924010694,106.68,40.33249162022752,40.33249162022752,359.980335810919,359.980335810919,359.980335810919,359.980335810919,25.0,25.0,25.0,-3.501554601825774e-11,-1.440108718429914e-10,1,F0P1,0.04163859035404016,0.04163859035404016,2821.488711305978,2834.743850048014,0.0,355.7270419516812,4.313513703383645,True,False,True,1808.5117141115036,2821.4887113056516,2821.4887113056516,False,null,False,7,40.33244444444445,80.6648888888889,106.68,0.0,False,False,2,0.9683487990523645,0.9683487990523645,-0.01966418908102696,0.9683487600375582,False,True,0,0,0,True,refresh,Amzn,north,120.0,7,after_native_first_leg_advance,True,2,4630.968348799379,355.7270419516812,359.98033581091016,True,False,-990.0
120.5,refresh-amzn-north-s0-l1,0.016355013956615153,0.04164726780229674,106.68,40.33249162022752,40.33249162022752,359.98033581091016,359.98033581091016,359.98033581091016,359.98033581091016,25.0,25.0,25.0,-3.524291969370097e-11,-1.4494600737443939e-10,1,F0P1,0.04163859035404016,0.04163859035404016,2811.405588400921,2824.649431704006,0.0,355.7270419516812,4.313513703383645,True,False,True,1818.5948331459742,2811.4055884005943,2811.4055884005943,False,null,False,7,40.33244444444445,80.6648888888889,106.68,0.0,False,False,2,0.964888222351874,0.964888222351874,-0.019664189089780848,0.9648881830419063,False,True,0,0,0,True,refresh,Amzn,north,120.0,7,after_native_first_leg_advance,True,2,4630.964888222678,355.7270419516812,359.9803358109013,True,False,-990.0
120.75,refresh-amzn-north-s0-l1,0.01644569365411111,0.041647236680582754,106.68,40.33249162022752,40.33249162022752,359.9803358109013,359.9803358109013,359.9803358109013,359.9803358109013,25.0,25.0,25.0,-3.54702933691442e-11,-1.4588114290588736e-10,1,F0P1,0.04163859035404016,0.04163859035404016,2801.3224654958644,2814.5550133600395,0.0,355.7270419516812,4.313513703383645,True,False,True,1828.6779522231282,2801.3224654955375,2801.3224654955375,False,null,False,7,40.33244444444445,80.6648888888889,106.68,0.0,False,False,2,0.961427645648655,0.961427645648655,-0.01966418909864842,0.961427606043878,False,True,0,0,0,True,refresh,Amzn,north,120.0,7,after_native_first_leg_advance,True,2,4630.961427645975,355.7270419516812,359.9803358108924,True,False,-990.0
121.0,refresh-amzn-north-s0-l1,0.016536373351607066,0.04164720555886874,106.68,40.33249162022752,40.33249162022752,359.9803358108924,359.9803358108924,359.9803358108924,359.9803358108924,25.0,25.0,25.0,-3.54702933691442e-11,-1.4588114290588736e-10,1,F0P1,0.04163859035404016,0.04163859035404016,2791.239342590807,2804.460595016115,0.0,355.7270419516812,4.313513703383645,True,False,True,1838.7610713422644,2791.2393425904806,2791.2393425904806,False,null,False,7,40.33244444444445,80.6648888888889,106.68,0.0,False,False,2,0.9579670689417981,0.9579670689417981,-0.019664189107515995,0.9579670290434993,False,True,0,0,0,True,refresh,Amzn,north,120.0,7,after_native_first_leg_advance,True,2,4630.957967069268,355.7270419516812,359.98033581088345,True,False,-990.0
121.25,refresh-amzn-north-s0-l1,0.016627053049103023,0.0416471744371547,106.68,40.33249162022752,40.33249162022752,359.98033581088345,359.98033581088345,359.98033581088345,359.98033581088345,25.0,25.0,25.0,-3.5925040720030665e-11,-1.4775141396878335e-10,1,F0P1,0.04163859035404016,0.04163859035404016,2781.1562196857503,2794.3661766722325,0.0,355.7270419516812,4.313513703383645,True,False,True,1848.8441905026955,2781.1562196854234,2781.1562196854234,False,null,False,7,40.33244444444445,80.6648888888889,106.68,0.0,False,False,2,0.9545064922322126,0.9545064922322126,-0.01966418911661094,0.9545064520407962,False,True,0,0,0,True,refresh,Amzn,north,120.0,7,after_native_first_leg_advance,True,2,4630.954506492559,355.7270419516812,359.98033581087446,True,False,-990.0
121.5,refresh-amzn-north-s0-l1,0.01671773274659898,0.041647143315440636,106.68,40.33249162022752,40.33249162022752,359.98033581087446,359.98033581087446,359.98033581087446,359.98033581087446,25.0,25.0,25.0,-3.5925040720030665e-11,-1.4775141396878335e-10,1,F0P1,0.04163859035404016,0.04163859035404016,2771.0730967806935,2784.271758328392,0.0,355.7270419516812,4.313513703383645,True,False,True,1858.9273097037494,2771.0730967803665,2771.0730967803665,False,null,False,7,40.33244444444445,80.6648888888889,106.68,0.0,False,False,2,0.9510459155189892,0.9510459155189892,-0.019664189125478515,0.9510458750357946,False,True,0,0,0,True,refresh,Amzn,north,120.0,7,after_native_first_leg_advance,True,2,4630.9510459158455,355.7270419516812,359.98033581086537,True,False,-990.0
121.75,refresh-amzn-north-s0-l1,0.016808412444094936,0.04164711219372654,106.68,40.33249162022752,40.33249162022752,359.98033581086537,359.98033581086537,359.98033581086537,359.98033581086537,25.0,25.0,25.0,-3.637978807091713e-11,-1.4962168503167934e-10,1,F0P1,0.04163859035404016,0.04163859035404016,2760.989973875636,2774.1773399845947,0.0,355.7270419516812,4.313513703383645,True,False,True,1869.0104289447684,2760.9899738753097,2760.9899738753097,False,null,False,7,40.33244444444445,80.6648888888889,106.68,0.0,False,False,2,0.9475853388039468,0.9475853388039468,-0.019664189134573462,0.9475852980285209,False,True,0,0,0,True,refresh,Amzn,north,120.0,7,after_native_first_leg_advance,True,2,4630.9475853391305,355.7270419516812,359.9803358108563,True,False,-990.0
